FBID	CHROM	START	END	STRAND
FBgn0010704	2L	2226342	2231099	+
FBgn0264945	2L	2226753	2227604	-
FBgn0262126	2L	2231106	2236844	-
FBgn0264946	2L	2236347	2237022	+
FBgn0051679	2L	2237076	2238251	-
FBgn0052463	2L	2238304	2239384	-
FBgn0051682	2L	2239414	2240593	-
FBgn0264979	2L	2242378	2245274	+
FBgn0262106	2L	2245230	2247383	+
FBgn0011832	2L	2250431	2251275	-
FBgn0042186	2L	2251510	2252341	-
FBgn0042187	2L	2253045	2253852	+
FBgn0031406	2L	2254176	2255050	-
FBgn0266022	2L	2257635	2258000	-
FBgn0266023	2L	2259396	2259730	-
FBgn0031407	2L	2263442	2264241	+
FBgn0054049	2L	2264231	2265321	-
FBgn0250841	2L	2268106	2269140	-
FBgn0264084	2L	2271319	2279714	-
FBgn0264085	2L	2283705	2285003	-
FBgn0031409	2L	2285163	2285926	+
FBgn0051681	2L	2285925	2286873	-
FBgn0261523	2L	2287025	2287933	-
FBgn0031410	2L	2288503	2289416	-
FBgn0028570	2L	2290224	2290738	-
FBgn0051949	2L	2300103	2300888	+
FBgn0031412	2L	2307948	2308872	+
FBgn0031413	2L	2308761	2357356	-
FBgn0031414	2L	2311680	2358944	+
FBgn0014010	2L	2359142	2365273	-
FBgn0261647	2L	2365345	2370137	+
FBgn0031417	2L	2370152	2371524	-
FBgn0031418	2L	2372455	2374627	-
FBgn0031419	2L	2374713	2375697	+
FBgn0266317	2L	2374955	2375582	-
FBgn0031420	2L	2375841	2380506	+
FBgn0264672	2L	2381097	2383073	+
FBgn0031422	2L	2383202	2384747	+
FBgn0031423	2L	2384761	2385792	-
FBgn0264081	2L	2389578	2390689	-
FBgn0031424	2L	2391660	2410662	+
FBgn0031426	2L	2410624	2415322	-
FBgn0051948	2L	2415359	2416720	-
FBgn0085477	2L	2416792	2417965	-
FBgn0085476	2L	2418422	2420013	-
FBgn0031428	2L	2420830	2424647	+
FBgn0264988	2L	2424797	2425041	+
FBgn0266217	2L	2427050	2427881	-
FBgn0000490	2L	2428372	2459823	+
FBgn0012017	2L	2459924	2460044	-
FBgn0012016	2L	2462593	2462686	+
FBgn0266824	2L	2471644	2472978	-
FBgn0264978	2L	2488197	2492671	-
FBgn0011818	2L	2492955	2498846	+
FBgn0265818	2L	2507312	2507596	-
FBgn0031430	2L	2517102	2518037	-
FBgn0264943	2L	2532999	2533569	-
FBgn0031431	2L	2551145	2552825	-
FBgn0264944	2L	2555750	2556089	+
FBgn0031432	2L	2562483	2564830	-
FBgn0041337	2L	2564886	2573037	-
FBgn0026778	2L	2573436	2575052	-
FBgn0085343	2L	2573436	2575052	-
FBgn0031434	2L	2575280	2576997	-
FBgn0031435	2L	2577687	2579179	+
FBgn0031436	2L	2579201	2580172	-
FBgn0031437	2L	2580292	2581423	+
FBgn0026479	2L	2581281	2585430	-
FBgn0250835	2L	2591869	2592773	+
FBgn0266025	2L	2598608	2599860	-
FBgn0266024	2L	2601033	2601721	-
FBgn0031440	2L	2609994	2611283	+
FBgn0263322	2L	2620187	2620782	+
FBgn0267269	2L	2625456	2627855	-
FBgn0264434	2L	2646030	2646281	+
FBgn0031441	2L	2646577	2647720	-
FBgn0264433	2L	2647886	2648361	+
FBgn0053125	2L	2648360	2652414	-
FBgn0031442	2L	2653046	2653926	+
FBgn0026395	2L	2654049	2655462	+
FBgn0031443	2L	2655394	2657102	+
FBgn0031444	2L	2665062	2666265	+
FBgn0041248	2L	2669823	2672186	+
FBgn0051690	2L	2677734	2719431	+
FBgn0031446	2L	2695330	2696437	-
FBgn0031449	2L	2725674	2739830	+
FBgn0263564	2L	2737568	2737661	+
FBgn0031450	2L	2739986	2743377	+
FBgn0031451	2L	2743375	2744934	-
FBgn0031452	2L	2745098	2746944	+
FBgn0250906	2L	2746880	2753068	-
FBgn0031453	2L	2752445	2757975	+
FBgn0265997	2L	2757940	2758176	-
FBgn0031454	2L	2758427	2759677	-
FBgn0031455	2L	2758427	2759677	-
FBgn0031456	2L	2759924	2763889	+
FBgn0031457	2L	2763416	2765665	-
FBgn0031458	2L	2766233	2767281	+
FBgn0026324	2L	2767286	2767845	-
FBgn0028398	2L	2767890	2768612	+
FBgn0019830	2L	2768590	2770069	-
FBgn0031459	2L	2770135	2770904	+
FBgn0031460	2L	2770884	2771776	-
FBgn0004242	2L	2772327	2799979	-
FBgn0264369	2L	2797832	2798321	+
FBgn0031461	2L	2805261	2812376	+
FBgn0031462	2L	2812437	2814429	+
FBgn0031463	2L	2814336	2815760	-
FBgn0031464	2L	2815970	2830248	-
FBgn0031465	2L	2823546	2825506	-
FBgn0031466	2L	2834887	2837833	-
FBgn0031467	2L	2838411	2839547	+
FBgn0266881	2L	2840025	2840316	-
FBgn0031468	2L	2840124	2842638	+
FBgn0031469	2L	2842589	2844513	-
FBgn0031470	2L	2844601	2845734	-
FBgn0031471	2L	2845926	2847212	-
FBgn0031472	2L	2847632	2848997	+
FBgn0031473	2L	2848989	2855778	-
FBgn0015521	2L	2856070	2857029	+
FBgn0031474	2L	2857164	2868548	+
FBgn0051694	2L	2868627	2874489	-
FBgn0031476	2L	2869652	2870649	+
FBgn0031478	2L	2874890	2877168	+
FBgn0031479	2L	2877091	2878232	-
FBgn0051950	2L	2878344	2879001	+
FBgn0028970	2L	2879112	2880708	+
FBgn0024947	2L	2880704	2885850	-
FBgn0041111	2L	2885929	2954406	+
FBgn0010263	2L	2954762	2968434	+
FBgn0024920	2L	2968293	2969638	-
FBgn0004584	2L	2969773	2972508	-
FBgn0260639	2L	2972891	2974858	+
FBgn0031483	2L	2974859	2976862	-
FBgn0031484	2L	2977122	2978500	+
FBgn0031485	2L	2978411	2979288	-
FBgn0250786	2L	2979562	2987723	-
FBgn0025109	2L	2988116	2990075	+
FBgn0002989	2L	2989594	2992759	-
FBgn0025681	2L	2992870	2998726	+
FBgn0031488	2L	2999286	3016069	+
FBgn0031489	2L	3016441	3018308	-
FBgn0031490	2L	3018508	3021506	+
FBgn0031491	2L	3021309	3023141	-
FBgn0031492	2L	3023226	3026439	+
FBgn0031493	2L	3026252	3029168	-
FBgn0031494	2L	3029253	3030616	+
FBgn0264996	2L	3030412	3030903	-
FBgn0031495	2L	3030539	3032300	+
FBgn0031496	2L	3032210	3035348	-
FBgn0031497	2L	3035493	3037403	-
FBgn0031498	2L	3037230	3038793	+
FBgn0243513	2L	3038826	3039812	-
FBgn0031500	2L	3039976	3041890	+
FBgn0031501	2L	3042551	3043593	+
FBgn0042627	2L	3043947	3056143	+
FBgn0263847	2L	3046746	3046904	+
FBgn0003934	2L	3048701	3048831	+
FBgn0027571	2L	3056598	3068177	+
FBgn0015600	2L	3068345	3144786	-
FBgn0005779	2L	3109672	3110998	+
FBgn0031504	2L	3128635	3129489	+
FBgn0031505	2L	3144953	3145848	-
FBgn0011648	2L	3146056	3159643	-
FBgn0260817	2L	3159950	3162399	+
FBgn0051953	2L	3162515	3163289	+
FBgn0014906	2L	3163645	3169462	+
FBgn0011985	2L	3169582	3169663	+
FBgn0264744	2L	3169820	3171092	-
FBgn0264745	2L	3171035	3172799	-
FBgn0011984	2L	3173003	3173084	-
FBgn0051698	2L	3173205	3173840	-
FBgn0031512	2L	3173972	3174504	+
FBgn0085422	2L	3175112	3200496	-
FBgn0266875	2L	3210515	3211156	+
FBgn0266876	2L	3260973	3261281	-
FBgn0266877	2L	3261638	3262007	-
FBgn0267270	2L	3264168	3265714	-
FBgn0265677	2L	3268269	3268646	+
FBgn0031513	2L	3269437	3271806	+
FBgn0031514	2L	3275800	3280534	-
FBgn0265678	2L	3287822	3288591	+
FBgn0031515	2L	3291245	3294706	-
FBgn0031516	2L	3294926	3303130	-
FBgn0031518	2L	3304100	3317418	+
FBgn0031517	2L	3309222	3311682	+
FBgn0031519	2L	3316794	3319872	-
FBgn0031520	2L	3320245	3323141	+
FBgn0053281	2L	3324237	3326637	+
FBgn0053282	2L	3327903	3329792	+
FBgn0031522	2L	3330928	3332876	+
FBgn0031523	2L	3332814	3334790	+
FBgn0020445	2L	3334875	3354829	-
FBgn0031526	2L	3357646	3358618	+
FBgn0085423	2L	3358640	3373372	-
FBgn0031528	2L	3373567	3375711	-
FBgn0031529	2L	3375832	3376737	-
FBgn0016698	2L	3377002	3378590	+
FBgn0266839	2L	3386863	3387278	-
FBgn0259949	2L	3387354	3387743	-
FBgn0259950	2L	3387882	3388496	-
FBgn0266026	2L	3389348	3389753	+
FBgn0266027	2L	3397323	3397851	-
FBgn0085204	2L	3398023	3398684	+
FBgn0031530	2L	3404460	3426719	-
FBgn0031531	2L	3410560	3411199	+
FBgn0051952	2L	3416693	3418068	+
FBgn0031533	2L	3445992	3447589	+
FBgn0031534	2L	3449683	3452106	+
FBgn0031535	2L	3452466	3453755	+
FBgn0031536	2L	3453697	3457064	-
FBgn0266670	2L	3457302	3460367	+
FBgn0031538	2L	3460322	3461952	-
FBgn0005616	2L	3462218	3466112	-
FBgn0263526	2L	3463290	3463400	-
FBgn0021967	2L	3466157	3467334	+
FBgn0031540	2L	3467342	3470004	-
FBgn0051776	2L	3470182	3472364	+
FBgn0051956	2L	3472603	3475338	+
FBgn0266912	2L	3475365	3476058	+
FBgn0264549	2L	3476343	3477648	+
FBgn0261560	2L	3478434	3479612	+
FBgn0031542	2L	3480755	3491071	-
FBgn0014396	2L	3493986	3508119	-
FBgn0266837	2L	3508598	3509036	+
FBgn0051954	2L	3509058	3510102	-
FBgn0266838	2L	3509099	3509440	+
FBgn0053123	2L	3510328	3514656	-
FBgn0031544	2L	3514872	3517264	+
FBgn0031545	2L	3517273	3519651	-
FBgn0031546	2L	3519677	3522555	+
FBgn0031547	2L	3522521	3524056	-
FBgn0031548	2L	3525131	3527588	+
FBgn0031549	2L	3527387	3530317	-
FBgn0031550	2L	3530789	3532678	+
FBgn0265367	2L	3537844	3538333	+
FBgn0024244	2L	3539247	3548423	+
FBgn0265368	2L	3562038	3563118	+
FBgn0265960	2L	3563308	3563502	-
FBgn0264370	2L	3575350	3575806	+
FBgn0264363	2L	3576210	3576623	+
FBgn0004892	2L	3578013	3580769	-
FBgn0264371	2L	3588485	3590301	-
FBgn0002985	2L	3604224	3606756	-
FBgn0265369	2L	3616296	3617619	+
FBgn0015663	2L	3619097	3621573	+
FBgn0031554	2L	3621110	3621681	-
FBgn0000721	2L	3622074	3656953	-
FBgn0263523	2L	3636967	3637073	-
FBgn0085369	2L	3662745	3692114	+
FBgn0259951	2L	3667977	3668551	-
FBgn0259953	2L	3668691	3669134	-
FBgn0259952	2L	3669261	3669775	-
FBgn0261054	2L	3670131	3670581	-
FBgn0031558	2L	3692123	3692587	-
FBgn0031559	2L	3692699	3693182	-
FBgn0051779	2L	3693184	3693905	-
FBgn0263096	2L	3694105	3694418	-
FBgn0262721	2L	3694431	3695020	-
FBgn0031560	2L	3695032	3695411	-
FBgn0031561	2L	3696218	3696658	-
FBgn0031562	2L	3697242	3697872	-
FBgn0031563	2L	3698451	3699092	-
FBgn0259954	2L	3699464	3699826	+
FBgn0259955	2L	3700195	3700658	+
FBgn0259956	2L	3700674	3701092	+
FBgn0259957	2L	3701290	3701699	+
FBgn0262621	2L	3701826	3702248	+
FBgn0265370	2L	3702614	3702947	+
FBgn0031564	2L	3703659	3704253	+
FBgn0051778	2L	3704106	3705488	-
FBgn0051777	2L	3706551	3707063	-
FBgn0015376	2L	3707230	3711748	-
FBgn0051955	2L	3711881	3713105	-
FBgn0031566	2L	3713360	3716810	+
FBgn0040104	2L	3716800	3717773	-
FBgn0003386	2L	3718185	3729145	+
FBgn0031568	2L	3730466	3754617	+
FBgn0263846	2L	3757256	3769525	+
FBgn0263842	2L	3765494	3765863	+
FBgn0262392	2L	3767621	3767688	+
FBgn0263843	2L	3769926	3770454	-
FBgn0004893	2L	3771700	3784121	+
FBgn0051960	2L	3784947	3785622	+
FBgn0051958	2L	3785738	3786343	+
FBgn0031571	2L	3787167	3802726	+
FBgn0021800	2L	3803545	3810671	+
FBgn0031573	2L	3810801	3813410	-
FBgn0264885	2L	3815438	3815948	+
FBgn0264886	2L	3817724	3818534	+
FBgn0003430	2L	3825675	3827099	+
FBgn0004567	2L	3836840	3839185	+
FBgn0266318	2L	3845130	3845716	-
FBgn0267007	2L	3851951	3852604	+
FBgn0267005	2L	3854288	3854994	-
FBgn0267006	2L	3856478	3857172	-
FBgn0264887	2L	3861405	3862097	-
FBgn0031574	2L	3862668	3867507	+
FBgn0031575	2L	3867697	3871425	+
FBgn0051957	2L	3871271	3872458	-
FBgn0000256	2L	3872646	3902860	-
FBgn0051774	2L	3902928	3991713	-
FBgn0051773	2L	3911796	3914288	-
FBgn0264341	2L	4000018	4000806	+
FBgn0266883	2L	4001084	4001620	+
FBgn0085205	2L	4004080	4004480	+
FBgn0031579	2L	4004984	4005670	+
FBgn0031580	2L	4006041	4006606	+
FBgn0264295	2L	4007690	4007984	+
FBgn0264296	2L	4008653	4009090	+
FBgn0000547	2L	4031377	4115749	+
FBgn0266319	2L	4074279	4075952	-
FBgn0086032	2L	4085890	4086005	+
FBgn0020376	2L	4120343	4121627	+
FBgn0014033	2L	4121702	4124153	+
FBgn0031585	2L	4149279	4151203	+
FBgn0026394	2L	4164689	4166134	-
FBgn0264866	2L	4185401	4186114	+
FBgn0051961	2L	4186250	4187793	-
FBgn0040102	2L	4188123	4189284	+
FBgn0031589	2L	4189340	4198071	-
FBgn0001075	2L	4198404	4221796	-
FBgn0031590	2L	4224650	4227097	-
FBgn0003941	2L	4227699	4228561	+
FBgn0265819	2L	4228921	4229458	+
FBgn0267284	2L	4240014	4240820	-
FBgn0264867	2L	4241070	4242397	+
FBgn0264868	2L	4246209	4249676	-
FBgn0266832	2L	4255720	4256085	-
FBgn0266833	2L	4256132	4256519	-
FBgn0266834	2L	4256798	4257295	-
FBgn0265269	2L	4257572	4258425	+
FBgn0264889	2L	4259946	4261101	-
FBgn0031592	2L	4277696	4281324	-
FBgn0010473	2L	4283148	4323781	+
FBgn0028482	2L	4324554	4331830	+
FBgn0020762	2L	4333913	4345776	+
FBgn0262375	2L	4343696	4343756	+
FBgn0265908	2L	4347501	4347954	+
FBgn0265909	2L	4348318	4348678	+
FBgn0265910	2L	4349172	4349685	+
FBgn0265911	2L	4350999	4351449	+
FBgn0031596	2L	4352975	4354034	+
FBgn0026319	2L	4361925	4380716	+
